,seller_id,last_transaction,recency_day,order_freq,gmv,aov,revenue,voucher_used,voucher_val,buyer_count,num_of_buyer_province,num_of_buyer_city,seller_category,cluster,cluster_name
2854,631a5da18755a8a989609a69,2023-10-07,86,3,5652802,1884267.3333333333,42395,0,0.0,2,2,2,Menengah,2,Seasonal Seller
2872,631a5da68755a8a989609e8e,2023-08-25,129,1,51100,51100.0,383,0,0.0,1,1,1,Mikro,2,Seasonal Seller
2873,631a5da68755a8a989609e9a,2023-10-24,69,1,56000,56000.0,420,0,0.0,1,1,1,Mikro,2,Seasonal Seller
2877,631a5da88755a8a98960a047,2023-08-03,151,1,180000000,180000000.0,1350000,0,0.0,1,1,1,Mikro,2,Seasonal Seller
2880,631a5da98755a8a98960a091,2023-07-28,157,3,2200500,733500.0,16503,0,0.0,3,2,3,Kecil,2,Seasonal Seller
2882,631a5dab8755a8a98960a123,2023-07-12,173,1,93150,93150.0,698,0,0.0,1,1,1,Mikro,2,Seasonal Seller
2883,631a5dab8755a8a98960a159,2023-06-30,185,1,315540,315540.0,2366,0,0.0,1,1,1,Mikro,2,Seasonal Seller
2886,631a5dab8755a8a98960a21e,2023-06-30,185,1,262490000,262490000.0,1312450,0,0.0,1,1,1,Swasta,2,Seasonal Seller
2890,631a5dac8755a8a98960a293,2023-07-18,167,2,187035200,93517600.0,1402763,0,0.0,1,1,1,Kecil,2,Seasonal Seller
2893,631a5dac8755a8a98960a2c9,2023-07-29,156,3,2914435,971478.3333333334,21857,0,0.0,3,1,3,Menengah,2,Seasonal Seller
2894,631a5dad8755a8a98960a2de,2023-10-11,82,2,1565100,782550.0,11737,0,0.0,2,2,2,Menengah,2,Seasonal Seller
2895,631a5dad8755a8a98960a307,2023-08-19,135,7,1753702,250528.85714285713,13150,0,0.0,6,1,4,Menengah,2,Seasonal Seller
2900,631a5dae8755a8a98960a421,2023-10-20,73,4,1532270,383067.5,11490,0,0.0,4,2,3,Menengah,2,Seasonal Seller
