,seller_id,last_transaction,recency_day,order_freq,gmv,aov,revenue,voucher_used,voucher_val,buyer_count,num_of_buyer_province,num_of_buyer_city,seller_category,cluster,cluster_name
2939,631a5db18755a8a98960a94e,2023-03-25,282,2,97402376,48701188.0,730517,0,0.0,1,1,1,Mikro,1,Big Order Occasional Seller
2946,631a5db38755a8a98960ab43,2023-03-04,303,1,440720,440720.0,3305,0,0.0,1,1,1,Menengah,1,Big Order Occasional Seller
2950,631a5db38755a8a98960ac4d,2023-03-18,289,1,24000,24000.0,180,0,0.0,1,1,1,Kecil,1,Big Order Occasional Seller
2965,631a5db48755a8a98960ae03,2023-05-07,239,2,10300000,5150000.0,77250,0,0.0,1,1,1,Mikro,1,Big Order Occasional Seller
2974,631a5db58755a8a98960af34,2023-06-20,195,1,163900000,163900000.0,1229250,0,0.0,1,1,1,Kecil,1,Big Order Occasional Seller
2985,631a5db68755a8a98960b045,2023-06-21,194,1,126000,126000.0,945,1,50000.0,1,1,1,Mikro,1,Big Order Occasional Seller
2987,631a5db78755a8a98960b069,2023-02-16,319,1,114158023,114158023.0,856185,0,0.0,1,1,1,Kecil,1,Big Order Occasional Seller
2989,631a5db78755a8a98960b090,2023-04-12,264,2,130200,65100.0,976,0,0.0,2,2,2,Mikro,1,Big Order Occasional Seller
2992,631a5db78755a8a98960b0fe,2023-03-25,282,1,264210,264210.0,1981,0,0.0,1,1,1,Mikro,1,Big Order Occasional Seller
2995,631a5db88755a8a98960b1cf,2023-04-05,271,1,300000,300000.0,2250,0,0.0,1,1,1,Mikro,1,Big Order Occasional Seller
2996,631a5db88755a8a98960b1d9,2023-03-25,282,1,1501000,1501000.0,11257,0,0.0,1,1,1,Mikro,1,Big Order Occasional Seller
3002,631a5db88755a8a98960b32a,2023-06-14,201,1,5950000,5950000.0,44625,0,0.0,1,1,1,Menengah,1,Big Order Occasional Seller
3010,631a5db98755a8a98960b48a,2023-01-06,360,1,61000,61000.0,457,0,0.0,1,1,1,Mikro,1,Big Order Occasional Seller
3011,631a5db98755a8a98960b49a,2023-03-19,288,1,97000,97000.0,727,0,0.0,1,1,1,Mikro,1,Big Order Occasional Seller
3021,631a5dbf8755a8a98960be5b,2023-02-22,313,1,1000000,1000000.0,7500,0,0.0,1,1,1,Mikro,1,Big Order Occasional Seller
3042,631a5fb6aa3096cbda2793c4,2023-06-16,199,2,384960,192480.0,2887,1,17000.0,2,1,1,Mikro,1,Big Order Occasional Seller
3049,631a5fb8aa3096cbda279557,2023-04-11,265,1,95000,95000.0,712,0,0.0,1,1,1,Mikro,1,Big Order Occasional Seller
3050,631a5fb8aa3096cbda279598,2023-04-20,256,1,66000,66000.0,495,0,0.0,1,1,1,Mikro,1,Big Order Occasional Seller
3054,631a5fb8aa3096cbda2796a4,2023-03-10,297,1,89999,89999.0,674,0,0.0,1,1,1,Menengah,1,Big Order Occasional Seller
3055,631a5fb8aa3096cbda2796d2,2023-06-09,206,2,743470,371735.0,5575,1,50000.0,2,1,1,Mikro,1,Big Order Occasional Seller
3074,631a5fbeaa3096cbda27a097,2023-06-02,213,2,240000000,120000000.0,1800000,0,0.0,1,1,1,Mikro,1,Big Order Occasional Seller
3078,631a5fc2aa3096cbda27a1aa,2023-03-15,292,2,2363000,1181500.0,17722,0,0.0,2,1,2,Mikro,1,Big Order Occasional Seller
3085,631a5fc6aa3096cbda27a2b5,2023-05-12,234,2,80863500,40431750.0,606475,0,0.0,1,1,1,Kecil,1,Big Order Occasional Seller
3100,631a5fc9aa3096cbda27a50d,2023-05-17,229,1,32210,32210.0,241,0,0.0,1,1,1,Mikro,1,Big Order Occasional Seller
3101,631a5fc9aa3096cbda27a534,2023-03-18,289,1,112000,112000.0,840,0,0.0,1,1,1,Mikro,1,Big Order Occasional Seller
3109,631a5fcaaa3096cbda27a689,2023-03-18,289,1,50000,50000.0,375,0,0.0,1,1,1,Mikro,1,Big Order Occasional Seller
3110,631a5fcbaa3096cbda27a6e8,2023-02-26,309,1,185200,185200.0,1389,0,0.0,1,1,1,Mikro,1,Big Order Occasional Seller
3112,631a5fcbaa3096cbda27a79c,2023-03-28,279,1,142200,142200.0,1066,1,50000.0,1,1,1,Mikro,1,Big Order Occasional Seller
3116,631a5fcbaa3096cbda27a7fb,2023-05-27,219,1,2886000,2886000.0,21645,0,0.0,1,1,1,Mikro,1,Big Order Occasional Seller
3118,631a5fcbaa3096cbda27a83a,2023-01-11,355,1,74000,74000.0,555,0,0.0,1,1,1,Mikro,1,Big Order Occasional Seller
3119,631a5fcbaa3096cbda27a87c,2023-03-29,278,1,36880,36880.0,276,1,50000.0,1,1,1,Mikro,1,Big Order Occasional Seller
3123,631a5fccaa3096cbda27a979,2023-01-22,344,1,233599500,233599500.0,1751996,0,0.0,1,1,1,Menengah,1,Big Order Occasional Seller
3127,631a5fcdaa3096cbda27a9f3,2023-05-25,221,1,3950000,3950000.0,29625,0,0.0,1,1,1,Mikro,1,Big Order Occasional Seller
3131,631a5fcdaa3096cbda27aa22,2023-06-05,210,2,334700,167350.0,2509,0,0.0,2,1,1,Mikro,1,Big Order Occasional Seller
3134,631a5fcdaa3096cbda27aa31,2023-01-04,362,1,451000,451000.0,3382,0,0.0,1,1,1,Mikro,1,Big Order Occasional Seller
3145,631a5fcdaa3096cbda27aae7,2023-05-31,215,1,18315000,18315000.0,137362,0,0.0,1,1,1,Menengah,1,Big Order Occasional Seller
3162,631a62e78755a8a989620c7c,2023-01-19,347,1,1010100,1010100.0,7575,0,0.0,1,1,1,Mikro,1,Big Order Occasional Seller
3163,631a62e78755a8a989620caa,2023-05-31,215,3,60600450,20200150.0,454503,0,0.0,1,1,1,Kecil,1,Big Order Occasional Seller
3165,631a62e78755a8a989620cba,2023-04-22,254,1,147520,147520.0,1106,1,50000.0,1,1,1,Mikro,1,Big Order Occasional Seller
3172,631a62e98755a8a989620d55,2023-04-04,272,1,3726250,3726250.0,27946,0,0.0,1,1,1,Mikro,1,Big Order Occasional Seller
3179,631a62e98755a8a989620e06,2023-04-06,270,1,10028300,10028300.0,75212,0,0.0,1,1,1,Mikro,1,Big Order Occasional Seller
3180,631a62e98755a8a989620e08,2023-05-17,229,1,44000000,44000000.0,330000,0,0.0,1,1,1,Menengah,1,Big Order Occasional Seller
3182,631a62eb8755a8a989620e8b,2023-06-16,199,1,113000,113000.0,847,0,0.0,1,1,1,Mikro,1,Big Order Occasional Seller
3187,631a62eb8755a8a989620ee2,2023-03-17,290,1,126000,126000.0,945,0,0.0,1,1,1,Kecil,1,Big Order Occasional Seller
3197,631a62ee8755a8a989620f5c,2023-06-14,201,1,50312000,50312000.0,377340,0,0.0,1,1,1,Kecil,1,Big Order Occasional Seller
3198,631a62ee8755a8a989620f6e,2023-03-28,279,1,155000,155000.0,1162,0,0.0,1,1,1,Mikro,1,Big Order Occasional Seller
3203,631a62ee8755a8a989620ff7,2023-03-11,296,1,183150000,183150000.0,1373625,0,0.0,1,1,1,Mikro,1,Big Order Occasional Seller
3205,631a62ef8755a8a989621048,2023-01-19,347,1,224000,224000.0,1680,0,0.0,1,1,1,Mikro,1,Big Order Occasional Seller
3213,631a62f18755a8a98962116b,2023-04-01,275,1,5166840,5166840.0,38751,0,0.0,1,1,1,Mikro,1,Big Order Occasional Seller
3224,631a62f4aa3096cbda28dee7,2023-06-08,207,1,122245,122245.0,916,1,50000.0,1,1,1,Mikro,1,Big Order Occasional Seller
