,buyer_id,last_transaction,recency_day,order_freq,gmv,aov,revenue,voucher_used,voucher_val,seller_count,num_of_seller_province,num_of_seller_city,cluster,cluster_name
8890,631a6d657476cace453cec6b,2023-10-10,83,5,189985,37997.0,1423,0,0.0,2,1,2,0,Seasonal Buyer
8898,631a6d697476cace453cedce,2023-10-12,81,1,63320,63320.0,474,0,0.0,1,1,1,0,Seasonal Buyer
8901,631a6d697476cace453cedfe,2023-10-11,82,5,241536,48307.2,1810,0,0.0,2,2,2,0,Seasonal Buyer
8904,631a6d6a7476cace453cee54,2023-10-11,82,1,482850,482850.0,3621,0,0.0,1,1,1,0,Seasonal Buyer
8905,631a6d6a7476cace453cee5d,2023-10-02,91,1,210900,210900.0,1581,0,0.0,1,1,1,0,Seasonal Buyer
8908,631a6d6c7476cace453cef51,2023-10-05,88,5,575300,115060.0,4314,0,0.0,3,1,2,0,Seasonal Buyer
8913,631a6d707476cace453cf0b7,2023-09-13,110,4,446552,111638.0,3347,0,0.0,2,1,2,0,Seasonal Buyer
8931,631a6d7a7476cace453cf527,2023-10-12,81,4,342978,85744.5,2571,0,0.0,4,1,1,0,Seasonal Buyer
8933,631a6d7b7476cace453cf552,2023-10-11,82,6,6175693,1029282.1666666666,46313,0,0.0,1,1,1,0,Seasonal Buyer
8934,631a6d7b7476cace453cf554,2023-08-23,131,5,597416,119483.2,4478,0,0.0,2,1,2,0,Seasonal Buyer
8935,631a6d7b7476cace453cf59d,2023-09-13,110,8,1593451,199181.375,11948,0,0.0,4,1,2,0,Seasonal Buyer
8939,631a6d7c7476cace453cf607,2023-09-26,97,7,639284,91326.28571428571,4792,0,0.0,3,2,3,0,Seasonal Buyer
8940,631a6d7d7476cace453cf643,2023-10-10,83,5,338116,67623.2,2535,0,0.0,1,1,1,0,Seasonal Buyer
8941,631a6d7d7476cace453cf654,2023-10-01,92,5,191808,38361.6,1437,0,0.0,2,2,2,0,Seasonal Buyer
8943,631a6d7e7476cace453cf690,2023-10-10,83,4,434355,108588.75,3257,0,0.0,2,1,1,0,Seasonal Buyer
8945,631a6d7e7476cace453cf6e7,2023-08-12,142,4,58652400,14663100.0,439891,0,0.0,1,1,1,0,Seasonal Buyer
8946,631a6d7f7476cace453cf748,2023-09-14,109,3,300800,100266.66666666667,2256,0,0.0,1,1,1,0,Seasonal Buyer
8947,631a6d7f7476cace453cf755,2023-08-19,135,1,141566,141566.0,1061,1,57000.0,1,1,1,0,Seasonal Buyer
8950,631a6d807476cace453cf77f,2023-10-24,69,8,287176,35897.0,2151,1,7000.0,2,1,1,0,Seasonal Buyer
8952,631a6d807476cace453cf792,2023-07-15,170,3,286550,95516.66666666667,2148,0,0.0,2,1,1,0,Seasonal Buyer
8958,631a6e397476cace453dc9e3,2023-07-21,164,3,144300,48100.0,1081,0,0.0,2,1,2,0,Seasonal Buyer
8962,631a6e3d7476cace453dcbde,2023-09-15,108,2,3850100,1925050.0,28875,0,0.0,2,1,1,0,Seasonal Buyer
8964,631a6e3e7476cace453dcc15,2023-09-13,110,4,377000,94250.0,2827,0,0.0,2,2,2,0,Seasonal Buyer
8968,631a6e457476cace453dcf7e,2023-10-20,73,4,243137,60784.25,1822,0,0.0,2,1,2,0,Seasonal Buyer
8972,631a6e477476cace453dd03c,2023-07-29,156,2,155500,77750.0,1166,0,0.0,2,2,2,0,Seasonal Buyer
8976,631a6e487476cace453dd126,2023-08-12,142,4,470760,117690.0,3529,0,0.0,2,1,1,0,Seasonal Buyer
8977,631a6e4a7476cace453dd1a4,2023-09-24,99,5,11890720,2378144.0,89179,0,0.0,1,1,1,0,Seasonal Buyer
8981,631a6e4b7476cace453dd238,2023-09-13,110,4,594000,148500.0,4453,0,0.0,3,1,2,0,Seasonal Buyer
8993,631a6e4f7476cace453dd410,2023-09-30,93,1,33000,33000.0,247,0,0.0,1,1,1,0,Seasonal Buyer
8994,631a6e517476cace453dd4ce,2023-10-14,79,3,157620,52540.0,1181,0,0.0,2,1,1,0,Seasonal Buyer
