seller_id,last_transaction,recency_day,order_freq,gmv,aov,revenue,voucher_used,voucher_val,buyer_count,num_of_buyer_province,num_of_buyer_city,seller_category,cluster,cluster_name
631a507d5b9755003d24fda1,2023-10-05,88,2,140619240,70309620.0,1054644,0,0.0,1,1,1,Mikro,2,Seasonal Seller
631a507d5b9755003d24fda7,2023-12-13,19,15,1417597400,94506493.33333333,10631976,0,0.0,2,1,2,Kecil,0,Hyper-Active Seller
631a507d5b9755003d24fdbd,2023-10-19,74,11,439060140,39914558.18181818,3292947,0,0.0,6,2,2,Kecil,2,Seasonal Seller
631a507d5b9755003d24fde3,2023-08-15,139,1,78086280,78086280.0,585647,0,0.0,1,1,1,Kecil,2,Seasonal Seller
631a507e5b9755003d24fe43,2023-12-14,18,28,1606317369,57368477.46428572,12047370,0,0.0,3,1,2,Kecil,0,Hyper-Active Seller
631a507e5b9755003d24fe49,2023-10-10,83,3,173770500,57923500.0,1303277,0,0.0,2,2,2,Mikro,2,Seasonal Seller
631a507e5b9755003d24fe4d,2023-12-20,12,26,1899762722,73067797.0,14248211,0,0.0,1,1,1,Kecil,0,Hyper-Active Seller
631a507e5b9755003d24fe55,2023-12-14,18,18,1101220499,61178916.61111111,8259147,0,0.0,6,3,3,Kecil,0,Hyper-Active Seller
631a507e5b9755003d24fe5f,2023-12-26,6,78,6261082904,80270293.64102565,46958096,0,0.0,9,3,3,Kecil,0,Hyper-Active Seller
631a507e5b9755003d24fe63,2023-12-15,17,76,3388174579,44581244.46052632,25411282,0,0.0,5,2,3,Kecil,0,Hyper-Active Seller
631a507e5b9755003d24fe69,2023-12-08,24,4,65395071,16348767.75,490462,0,0.0,2,1,2,Menengah,0,Hyper-Active Seller
631a507e5b9755003d24fe71,2023-07-02,183,2,61356274,30678137.0,460172,0,0.0,1,1,1,Kecil,2,Seasonal Seller
631a507e5b9755003d24fe7d,2023-10-31,62,7,122393400,17484771.42857143,917949,0,0.0,2,1,2,Menengah,0,Hyper-Active Seller
631a507e5b9755003d24fe8b,2023-12-19,13,14,812100713,58007193.78571428,6090753,0,0.0,6,2,2,Kecil,0,Hyper-Active Seller
631a507e5b9755003d24fe93,2023-12-21,11,69,5555426729,80513430.85507247,41665673,0,0.0,5,2,2,Kecil,0,Hyper-Active Seller
631a507e5b9755003d24fe9b,2023-04-19,257,1,84915000,84915000.0,636862,0,0.0,1,1,1,Menengah,1,Big Order Occasional Seller
631a507e5b9755003d24fea9,2023-09-27,96,3,494470094,164823364.66666666,2885182,0,0.0,2,2,2,Kecil,2,Seasonal Seller
631a507e5b9755003d24fed5,2023-12-30,2,26,2059855206,79225200.23076923,13886495,0,0.0,8,3,6,Kecil,0,Hyper-Active Seller
631a507e7255a77e0e6e36cb,2023-12-21,11,15,1624441992,108296132.8,12183306,0,0.0,3,2,3,Mikro,0,Hyper-Active Seller
631a507e7255a77e0e6e3739,2023-10-12,81,5,8348010,1669602.0,62607,0,0.0,5,3,5,Kecil,2,Seasonal Seller
631a507f5b9755003d24fefb,2023-06-08,207,1,97763843,97763843.0,733228,0,0.0,1,1,1,Kecil,1,Big Order Occasional Seller
631a507f5b9755003d24ff03,2023-11-26,36,1,438636,438636.0,3289,0,0.0,1,1,1,Kecil,0,Hyper-Active Seller
631a507f5b9755003d24ff15,2023-12-27,5,19,3661339127,192702059.31578946,22143979,0,0.0,10,4,9,Kecil,0,Hyper-Active Seller
631a507f5b9755003d24ff2f,2023-12-16,16,2,72150000,36075000.0,541124,0,0.0,1,1,1,Menengah,0,Hyper-Active Seller
631a507f5b9755003d24ff37,2023-12-20,12,11,2464428608,224038964.36363637,13156209,0,0.0,6,2,5,Kecil,0,Hyper-Active Seller
631a507f5b9755003d24ff53,2023-11-30,32,7,379398000,54199714.28571428,2845483,0,0.0,1,1,1,Kecil,0,Hyper-Active Seller
631a507f5b9755003d24ff55,2023-11-16,46,1,62715000,62715000.0,470362,0,0.0,1,1,1,Kecil,0,Hyper-Active Seller
631a507f5b9755003d24ff8c,2023-12-21,11,121,7572949778,62586361.80165289,56797090,0,0.0,7,1,3,Kecil,0,Hyper-Active Seller
631a507f5b9755003d24ff9a,2023-09-06,117,2,292144230,146072115.0,2191080,0,0.0,1,1,1,Menengah,2,Seasonal Seller
631a507f5b9755003d24ffa4,2023-12-22,10,9,371823100,41313677.777777776,2788669,0,0.0,3,2,3,Kecil,0,Hyper-Active Seller
631a507f5b9755003d24ffba,2023-12-31,1,46,2187489312,47554115.47826087,16406151,0,0.0,10,3,6,Kecil,0,Hyper-Active Seller
631a507f7255a77e0e6e3834,2023-12-31,1,693,41865179436,60411514.33766234,278977529,4,93031.0,13,2,5,Menengah,0,Hyper-Active Seller
631a50805b9755003d24ffe8,2023-12-05,27,2,39127500,19563750.0,293456,0,0.0,2,2,2,Kecil,0,Hyper-Active Seller
631a50805b9755003d24ffee,2023-12-12,20,19,2674720706,140774774.0,16984845,0,0.0,13,6,11,Kecil,0,Hyper-Active Seller
631a50805b9755003d24fff8,2023-12-30,2,74,1034542512,13980304.216216216,7759034,0,0.0,10,3,4,Kecil,0,Hyper-Active Seller
631a50805b9755003d250022,2023-12-31,1,50,3806348708,76126974.16,28547599,0,0.0,8,1,2,Menengah,0,Hyper-Active Seller
631a50805b9755003d250024,2023-07-05,180,1,88495200,88495200.0,663714,0,0.0,1,1,1,Menengah,2,Seasonal Seller
631a50805b9755003d25002c,2023-10-18,75,1,69042000,69042000.0,517815,0,0.0,1,1,1,Kecil,2,Seasonal Seller
631a50805b9755003d25003a,2023-12-30,2,28,1270579005,45377821.60714286,9529331,0,0.0,3,2,2,Kecil,0,Hyper-Active Seller
631a50805b9755003d250044,2023-11-01,61,3,164649607,54883202.333333336,1234870,0,0.0,1,1,1,Kecil,0,Hyper-Active Seller
631a50805b9755003d250066,2023-11-28,34,4,263663,65915.75,1976,0,0.0,3,2,3,Kecil,0,Hyper-Active Seller
631a50815b9755003d25008c,2023-12-29,3,63,3633053444,57667514.984126985,26423858,0,0.0,15,8,12,Menengah,0,Hyper-Active Seller
631a50815b9755003d2500ac,2023-11-30,32,3,138528000,46176000.0,1038960,0,0.0,1,1,1,Menengah,0,Hyper-Active Seller
631a50815b9755003d2500dc,2023-12-14,18,1,165723888,165723888.0,1242929,0,0.0,1,1,1,Kecil,0,Hyper-Active Seller
631a50815b9755003d2500ec,2023-11-03,59,2,517664289,258832144.5,3069407,0,0.0,2,1,1,Kecil,0,Hyper-Active Seller
631a50815b9755003d250110,2023-10-19,74,2,109853200,54926600.0,823898,0,0.0,1,1,1,Kecil,2,Seasonal Seller
631a50825b9755003d25012c,2023-11-22,40,6,475272260,79212043.33333333,3564540,0,0.0,2,1,2,Kecil,0,Hyper-Active Seller
631a50825b9755003d250130,2023-12-15,17,3,1383464,461154.6666666667,10375,0,0.0,3,3,3,Kecil,0,Hyper-Active Seller
631a50825b9755003d250132,2023-11-11,51,4,303725412,75931353.0,2277938,0,0.0,2,1,2,Kecil,0,Hyper-Active Seller
631a50827255a77e0e6e3bf8,2023-10-21,72,1,77700,77700.0,582,0,0.0,1,1,1,Kecil,2,Seasonal Seller
631a50835b9755003d250186,2023-12-20,12,36,2670114052,74169834.77777778,20025838,1,50000.0,13,5,8,Kecil,0,Hyper-Active Seller
631a50835b9755003d2501c4,2023-12-13,19,23,5630936044,244823306.26086956,30884942,0,0.0,13,4,11,Kecil,0,Hyper-Active Seller
631a50835b9755003d2501d2,2023-02-24,311,1,52170000,52170000.0,391275,0,0.0,1,1,1,Kecil,1,Big Order Occasional Seller
631a50837255a77e0e6e3c9c,2023-11-25,37,2,35919600,17959800.0,269496,0,0.0,2,1,1,Menengah,0,Hyper-Active Seller
631a50837255a77e0e6e3d35,2023-02-22,313,2,1503495,751747.5,11275,0,0.0,1,1,1,Kecil,1,Big Order Occasional Seller
631a50845b9755003d250219,2023-12-07,25,1,69930000,69930000.0,524475,0,0.0,1,1,1,Menengah,0,Hyper-Active Seller
631a50845b9755003d250247,2023-12-06,26,37,1561695646,42207990.432432435,11712704,1,50000.0,5,2,3,Kecil,0,Hyper-Active Seller
631a50845b9755003d250269,2023-12-30,2,15,1331598556,88773237.06666666,9986987,0,0.0,3,1,1,Menengah,0,Hyper-Active Seller
631a50845b9755003d25026d,2023-08-04,150,1,329670000,329670000.0,1648350,0,0.0,1,1,1,Kecil,2,Seasonal Seller
631a50845b9755003d250283,2023-12-13,19,7,379451502,54207357.428571425,2845883,0,0.0,4,4,4,Menengah,0,Hyper-Active Seller
631a50855b9755003d25029a,2023-03-22,285,1,100700,100700.0,755,0,0.0,1,1,1,Menengah,1,Big Order Occasional Seller
631a50855b9755003d2502ae,2023-08-26,128,2,202900000,101450000.0,1521750,0,0.0,2,2,2,Kecil,2,Seasonal Seller
631a50855b9755003d2502b4,2023-12-26,6,1,273303800,273303800.0,1366519,0,0.0,1,1,1,Kecil,0,Hyper-Active Seller
631a50857255a77e0e6e3ed6,2023-12-23,9,9,376313000,41812555.55555555,2822343,0,0.0,1,1,1,Swasta,0,Hyper-Active Seller
631a50857255a77e0e6e3fa0,2023-12-30,2,7,1458150104,208307157.7142857,10936125,0,0.0,1,1,1,Menengah,0,Hyper-Active Seller
631a50857255a77e0e6e3fca,2023-04-01,275,1,319990171,319990171.0,1599950,0,0.0,1,1,1,Menengah,1,Big Order Occasional Seller
631a50877255a77e0e6e4208,2023-09-05,118,2,580324000,290162000.0,2901620,0,0.0,2,1,1,Kecil,2,Seasonal Seller
631a50885b9755003d25035b,2023-11-04,58,1,50988343,50988343.0,382412,0,0.0,1,1,1,Kecil,0,Hyper-Active Seller
631a50887255a77e0e6e4265,2023-06-07,208,5,1512600330,302520066.0,8059701,0,0.0,2,1,1,Kecil,1,Big Order Occasional Seller
631a50887255a77e0e6e42f1,2023-05-31,215,1,60555000,60555000.0,454162,0,0.0,1,1,1,Menengah,1,Big Order Occasional Seller
631a50897255a77e0e6e446c,2023-09-06,117,1,397000,397000.0,2977,0,0.0,1,1,1,Kecil,2,Seasonal Seller
631a50897255a77e0e6e4476,2023-09-13,110,1,4627040,4627040.0,34702,0,0.0,1,1,1,Menengah,2,Seasonal Seller
631a50897255a77e0e6e447c,2023-12-12,20,1,11895600,11895600.0,89217,0,0.0,1,1,1,Menengah,0,Hyper-Active Seller
631a508a5b9755003d25038b,2023-10-12,81,6,463276926,77212821.0,3474573,0,0.0,3,2,2,Menengah,2,Seasonal Seller
631a508a7255a77e0e6e44a3,2023-12-23,9,99,153962900,1555180.808080808,1154698,0,0.0,46,9,16,Kecil,0,Hyper-Active Seller
631a508a7255a77e0e6e44d6,2023-12-20,12,7,231990,33141.42857142857,1736,0,0.0,1,1,1,Kecil,0,Hyper-Active Seller
631a508a7255a77e0e6e44d8,2023-12-13,19,3,10799259,3599753.0,80994,0,0.0,3,2,3,Kecil,0,Hyper-Active Seller
631a508c7255a77e0e6e44f4,2023-09-14,109,2,25568675,12784337.5,191764,0,0.0,2,1,1,Kecil,2,Seasonal Seller
