buyer_id,last_transaction,recency_day,order_freq,gmv,aov,revenue,voucher_used,voucher_val,seller_count,num_of_seller_province,num_of_seller_city,cluster,cluster_name
631a5b4aaa3096cbda2533df,2023-02-05,330,1,5835270,5835270.0,43764,0,0.0,1,1,1,1,Small Order Occasional Buyer
631a5b5faa3096cbda253957,2023-03-23,284,1,330447,330447.0,2478,0,0.0,1,1,1,1,Small Order Occasional Buyer
631a5b64aa3096cbda253a70,2023-05-19,227,1,561660,561660.0,4212,0,0.0,1,1,1,1,Small Order Occasional Buyer
631a5b6d8755a8a9895fc0c8,2023-05-21,225,3,124850500,41616833.333333336,936378,0,0.0,2,1,2,1,Small Order Occasional Buyer
631a5b79aa3096cbda253fb3,2023-03-15,292,1,499500,499500.0,3746,0,0.0,1,1,1,1,Small Order Occasional Buyer
631a5b7faa3096cbda254112,2023-04-25,251,1,1181173,1181173.0,8858,1,25000.0,1,1,1,1,Small Order Occasional Buyer
631a5b858755a8a9895fc6af,2023-06-08,207,1,21710,21710.0,162,0,0.0,1,1,1,1,Small Order Occasional Buyer
631a5b89aa3096cbda2543e9,2023-06-21,194,1,97244400,97244400.0,729333,0,0.0,1,1,1,1,Small Order Occasional Buyer
631a5baa8755a8a9895fcf85,2023-04-12,264,1,8314563,8314563.0,62359,0,0.0,1,1,1,1,Small Order Occasional Buyer
631a5bc78755a8a9895fd678,2023-05-19,227,1,109224000,109224000.0,819180,0,0.0,1,1,1,1,Small Order Occasional Buyer
631a5bcf8755a8a9895fd862,2023-03-22,285,1,35420000,35420000.0,265650,0,0.0,1,1,1,1,Small Order Occasional Buyer
631a5be08755a8a9895fdc79,2023-01-11,355,1,244200,244200.0,1831,0,0.0,1,1,1,1,Small Order Occasional Buyer
631a5c03aa3096cbda2562fb,2023-05-13,233,5,495500,99100.0,3715,0,0.0,1,1,1,1,Small Order Occasional Buyer
631a5c14aa3096cbda25676e,2023-04-19,257,1,84915000,84915000.0,636862,0,0.0,1,1,1,1,Small Order Occasional Buyer
631a5c17aa3096cbda256845,2023-06-22,193,1,1065000,1065000.0,7987,0,0.0,1,1,1,1,Small Order Occasional Buyer
631a5c1a8755a8a9895fea48,2023-03-25,282,2,31287000,15643500.0,234652,0,0.0,1,1,1,1,Small Order Occasional Buyer
631a5c208755a8a9895feb84,2023-02-08,327,1,481250,481250.0,3609,0,0.0,1,1,1,1,Small Order Occasional Buyer
631a5c278755a8a9895fed49,2023-02-19,316,2,2178200,1089100.0,16336,0,0.0,2,1,2,1,Small Order Occasional Buyer
631a5c338755a8a9895ff04b,2023-04-16,260,1,171050,171050.0,1282,0,0.0,1,1,1,1,Small Order Occasional Buyer
631a5c3caa3096cbda257163,2023-02-04,331,1,3288375,3288375.0,24662,0,0.0,1,1,1,1,Small Order Occasional Buyer
631a5c44aa3096cbda25735b,2023-01-13,353,1,841500,841500.0,6311,0,0.0,1,1,1,1,Small Order Occasional Buyer
631a5c7c8755a8a98960061e,2023-04-22,254,1,17589000,17589000.0,131917,0,0.0,1,1,1,1,Small Order Occasional Buyer
631a5ca08755a8a989600fe0,2023-02-23,312,1,73700000,73700000.0,552750,0,0.0,1,1,1,1,Small Order Occasional Buyer
631a5ca18755a8a989601046,2023-03-02,305,2,69190,34595.0,518,0,0.0,1,1,1,1,Small Order Occasional Buyer
631a5ce38755a8a989601fe0,2023-03-22,285,1,197000,197000.0,1477,1,75000.0,1,1,1,1,Small Order Occasional Buyer
631a5e14aa3096cbda268708,2023-02-07,328,1,74000,74000.0,555,1,25000.0,1,1,1,1,Small Order Occasional Buyer
631a5e1caa3096cbda268a55,2023-06-17,198,1,1798200,1798200.0,13486,1,1620000.0,1,1,1,1,Small Order Occasional Buyer
631a5e1caa3096cbda268a79,2023-06-23,192,2,53900,26950.0,404,0,0.0,1,1,1,1,Small Order Occasional Buyer
631a5e1caa3096cbda268a8d,2023-04-04,272,1,106000,106000.0,795,1,70000.0,1,1,1,1,Small Order Occasional Buyer
631a5e1faa3096cbda268b80,2023-02-07,328,1,89000,89000.0,667,1,70000.0,1,1,1,1,Small Order Occasional Buyer
631a5e27aa3096cbda268f13,2023-04-19,257,1,114950,114950.0,862,1,50000.0,1,1,1,1,Small Order Occasional Buyer
631a5e27aa3096cbda268f25,2023-03-22,285,1,89000,89000.0,667,1,70000.0,1,1,1,1,Small Order Occasional Buyer
631a5e36aa3096cbda269597,2023-05-18,228,1,139575,139575.0,1046,1,66000.0,1,1,1,1,Small Order Occasional Buyer
631a5e65aa3096cbda26a984,2023-03-02,305,1,89100,89100.0,668,1,30000.0,1,1,1,1,Small Order Occasional Buyer
